ite 188, loss is 44.75375747680664
ite 189, loss is 43.81060028076172
ite 190, loss is 44.32387924194336
ite 191, loss is 43.84116744995117
ite 192, loss is 43.08540725708008
ite 193, loss is 42.89041519165039
ite 194, loss is 42.770103454589844
ite 195, loss is 42.479217529296875
ite 196, loss is 42.106109619140625
ite 197, loss is 41.63039016723633
ite 198, loss is 41.25009536743164
ite 199, loss is 41.508602142333984
ite 200, loss is 40.77821350097656
ite 201, loss is 40.54599380493164
ite 202, loss is 40.23863983154297
ite 203, loss is 40.1151008605957
ite 204, loss is 39.758872985839844
ite 205, loss is 39.600563049316406
ite 206, loss is 39.47209930419922
ite 207, loss is 39.15774154663086
ite 208, loss is 39.033592224121094
ite 209, loss is 38.58356475830078
ite 210, loss is 38.53464126586914
ite 211, loss is 38.411617279052734
ite 212, loss is 38.51880645751953
ite 213, loss is 38.9114875793457
ite 214, loss is 40.31672286987305
ite 215, loss is 39.609947204589844
ite 216, loss is 38.483001708984375
ite 217, loss is 38.477481842041016
ite 218, loss is 39.483158111572266
ite 219, loss is 39.32675552368164
ite 220, loss is 37.131744384765625
ite 221, loss is 38.4941291809082
ite 222, loss is 37.877410888671875
ite 223, loss is 37.07382583618164
ite 224, loss is 37.81977462768555
ite 225, loss is 36.3499755859375
ite 226, loss is 36.8796272277832
ite 227, loss is 36.28200149536133
ite 228, loss is 36.32831573486328
ite 229, loss is 35.82054138183594
ite 230, loss is 35.77433395385742
ite 231, loss is 35.34880447387695
ite 232, loss is 35.52921676635742
ite 233, loss is 34.87229537963867
ite 234, loss is 35.056968688964844
ite 235, loss is 34.55354309082031
ite 236, loss is 34.77822494506836
ite 237, loss is 34.47232437133789
ite 238, loss is 34.609439849853516
ite 239, loss is 34.870723724365234
ite 240, loss is 35.08753204345703
ite 241, loss is 35.81171798706055
ite 242, loss is 34.31712341308594
ite 243, loss is 33.87016677856445
ite 244, loss is 33.960777282714844
ite 245, loss is 33.873443603515625
ite 246, loss is 33.4033317565918
ite 247, loss is 33.325435638427734
ite 248, loss is 33.32301330566406
