ite 189, loss is 46.17036056518555
ite 190, loss is 44.98509979248047
ite 191, loss is 45.25115203857422
ite 192, loss is 45.56941223144531
ite 193, loss is 44.577762603759766
ite 194, loss is 44.75859451293945
ite 195, loss is 43.75680160522461
ite 196, loss is 43.72211456298828
ite 197, loss is 43.763343811035156
ite 198, loss is 42.816200256347656
ite 199, loss is 42.95549774169922
ite 200, loss is 41.902496337890625
ite 201, loss is 41.992958068847656
ite 202, loss is 41.558197021484375
ite 203, loss is 41.61430358886719
ite 204, loss is 41.519073486328125
ite 205, loss is 41.326602935791016
ite 206, loss is 41.64796829223633
ite 207, loss is 41.396244049072266
ite 208, loss is 41.717960357666016
ite 209, loss is 41.565181732177734
ite 210, loss is 40.2327995300293
ite 211, loss is 39.471920013427734
ite 212, loss is 39.65447235107422
ite 213, loss is 40.02933120727539
ite 214, loss is 39.4527473449707
ite 215, loss is 38.761409759521484
ite 216, loss is 38.71357727050781
ite 217, loss is 38.93207931518555
ite 218, loss is 38.42850875854492
ite 219, loss is 38.21123504638672
ite 220, loss is 38.75360870361328
ite 221, loss is 39.907718658447266
ite 222, loss is 42.73890686035156
ite 223, loss is 43.81452560424805
ite 224, loss is 41.03475570678711
ite 225, loss is 38.44013977050781
ite 226, loss is 40.10114669799805
ite 227, loss is 37.908668518066406
ite 228, loss is 39.26276397705078
ite 229, loss is 37.783790588378906
ite 230, loss is 37.93600082397461
ite 231, loss is 37.713050842285156
ite 232, loss is 37.3864860534668
ite 233, loss is 37.10409927368164
ite 234, loss is 37.08095169067383
ite 235, loss is 36.54629898071289
ite 236, loss is 36.37310791015625
ite 237, loss is 36.331607818603516
ite 238, loss is 35.9853401184082
ite 239, loss is 35.795841217041016
ite 240, loss is 35.66402053833008
ite 241, loss is 35.55552291870117
ite 242, loss is 35.172279357910156
ite 243, loss is 35.16450881958008
ite 244, loss is 34.89508819580078
ite 245, loss is 34.90367126464844
ite 246, loss is 34.46674728393555
ite 247, loss is 34.592041015625
ite 248, loss is 34.21736145019531
ite 249, loss is 34.284732818603516
ite 250, loss is 33.990943908691406
ite 251, loss is 33.96294403076172
ite 252, loss is 33.857666015625
ite 253, loss is 33.73780059814453
ite 254, loss is 33.81975555419922
ite 255, loss is 33.849334716796875
ite 256, loss is 34.65688705444336
ite 257, loss is 35.63026809692383
ite 258, loss is 38.02942657470703
ite 259, loss is 37.14903259277344
ite 260, loss is 33.491546630859375
ite 261, loss is 34.66911315917969
ite 262, loss is 34.65703201293945
ite 263, loss is 33.1499137878418
ite 264, loss is 34.01075744628906
ite 265, loss is 33.03157424926758
ite 266, loss is 33.233577728271484
ite 267, loss is 33.271202087402344
ite 268, loss is 32.39140319824219
ite 269, loss is 32.96136474609375
ite 270, loss is 32.177486419677734
ite 271, loss is 32.50682067871094
ite 272, loss is 31.977155685424805
ite 273, loss is 31.939163208007812
ite 274, loss is 32.008697509765625
ite 275, loss is 31.607900619506836
ite 276, loss is 31.5408935546875
ite 277, loss is 31.30317497253418
ite 278, loss is 31.277563095092773
ite 279, loss is 31.054651260375977
ite 280, loss is 31.004507064819336
ite 281, loss is 30.74124526977539
ite 282, loss is 30.623920440673828
ite 283, loss is 30.629045486450195
ite 284, loss is 30.343982696533203
ite 285, loss is 30.40377426147461
ite 286, loss is 30.265108108520508
ite 287, loss is 30.050460815429688
ite 288, loss is 29.99401092529297
ite 289, loss is 29.85287094116211
ite 290, loss is 29.743520736694336
ite 291, loss is 29.704893112182617
ite 292, loss is 29.673133850097656
ite 293, loss is 29.696063995361328
ite 294, loss is 29.70836067199707
ite 295, loss is 30.069416046142578
ite 296, loss is 30.715579986572266
ite 297, loss is 31.20128631591797
ite 298, loss is 30.781259536743164
ite 299, loss is 30.0286808013916
ite 300, loss is 29.361608505249023
ite 301, loss is 29.88685417175293
ite 302, loss is 30.066633224487305
ite 303, loss is 29.207202911376953
ite 304, loss is 28.64421844482422
ite 305, loss is 28.99845314025879
ite 306, loss is 28.751049041748047
ite 307, loss is 28.36878776550293
ite 308, loss is 28.728288650512695
ite 309, loss is 28.388046264648438
ite 310, loss is 27.911827087402344
ite 311, loss is 28.17732048034668
ite 312, loss is 27.91366195678711
ite 313, loss is 27.711307525634766
ite 314, loss is 27.8957462310791
ite 315, loss is 27.6534423828125
ite 316, loss is 27.357698440551758
ite 317, loss is 27.41340446472168
ite 318, loss is 27.344078063964844
ite 319, loss is 27.162517547607422
ite 320, loss is 27.317001342773438
ite 321, loss is 27.632884979248047
ite 322, loss is 28.27205467224121
ite 323, loss is 28.578004837036133
ite 324, loss is 29.825332641601562
ite 325, loss is 28.9162654876709
ite 326, loss is 28.571775436401367
ite 327, loss is 31.514970779418945
ite 328, loss is 29.459421157836914
ite 329, loss is 28.04192352294922
ite 330, loss is 29.0181827545166
ite 331, loss is 28.19622039794922
ite 332, loss is 28.444644927978516
ite 333, loss is 28.944555282592773
ite 334, loss is 27.778961181640625
ite 335, loss is 27.62139129638672
ite 336, loss is 27.32026481628418
ite 337, loss is 26.851099014282227
ite 338, loss is 27.1019287109375
ite 339, loss is 26.702075958251953
ite 340, loss is 26.64678192138672
ite 341, loss is 26.262731552124023
ite 342, loss is 26.277151107788086
ite 343, loss is 26.026683807373047
ite 344, loss is 25.831966400146484
ite 345, loss is 25.838703155517578
ite 346, loss is 25.48020362854004
ite 347, loss is 25.537979125976562
ite 348, loss is 25.259008407592773
ite 349, loss is 25.276126861572266
ite 350, loss is 25.03091812133789
ite 351, loss is 24.955673217773438
ite 352, loss is 24.836055755615234
ite 353, loss is 24.733898162841797
ite 354, loss is 24.6767635345459
ite 355, loss is 24.62079429626465
ite 356, loss is 24.417057037353516
